The Simpsons,2021,8.6,381626,Animation; Comedy,,,,,,,,,
Dear Evan Hansen,2021,6,5468,Drama; Musical,,,,,,,,,
CSI: Crime Scene Investigation,2021,7.6,80011,Crime; Drama; Mystery,,,,,,,,,
Loki,2021,8.3,208457,Action; Adventure; Fantasy,,,,,,,,,
It's Always Sunny in Philadelphia,2021,8.8,201983,Comedy,,,,,,,,,
Hypnotic,2021,No Rate,No Votes,Drama; Horror; Thriller,,,,,,,,,
Superstore,2021,7.8,39602,Comedy,,,,,,,,,
The Resident,2021,7.7,22186,Drama,,,,,,,,,
Gisaengchung,2019,8.6,669620,Comedy; Drama; Thriller,,,,,,,,,
Mr. Robot,2019,8.5,354297,Crime; Drama; Thriller,,,,,,,,,
Last Night in Soho,2021,7.4,1122,Drama; Horror; Mystery,,,,,,,,,
Titanic,1997,7.8,1096676,Drama; Romance,,,,,,,,,
Shiddat,2021,8,8066,Romance,,,,,,,,,
Scream,2022,No Rate,No Votes,Horror; Mystery; Thriller,,,,,,,,,
Ozark,2022,8.4,214799,Crime; Drama; Thriller,,,,,,,,,
Rise of the Footsoldier: Origins,2021,6.4,1894,Action; Crime; Drama,,,,,,,,,
F9,2021,5.2,97696,Action; Adventure; Crime,,,,,,,,,
Shingeki no kyojin,2021,9,255267,Animation; Action; Adventure,,,,,,,,,
365 dni,2020,3.3,67739,Drama; Romance,,,,,,,,,
Archer,2020,8.6,144917,Animation; Action; Comedy,,,,,,,,,
How I Met Your Mother,2020,8.3,635038,Comedy; Romance,,,,,,,,,
Chehre,2021,6.6,21358,Drama; Mystery; Thriller,,,,,,,,,
Young Sheldon,2021,7.5,41356,Comedy,,,,,,,,,
The Batman,2022,No Rate,No Votes,Action; Crime; Drama,,,,,,,,,
Black Mafia Family,2022,6.8,930,Biography; Crime; Drama,,,,,,,,,
Manifest,2022,7.1,39468,Drama; Mystery; Sci-Fi,,,,,,,,,
S.W.A.T.,2022,7.1,18353,Action; Adventure; Crime,,,,,,,,,
Friday Night Lights,2022,8.6,60640,Drama; Sport,,,,,,,,,
9-1-1,2022,7.8,26981,Action; Drama; Thriller,,,,,,,,,
Heat,1995,8.2,609446,Crime; Drama; Thriller,,,,,,,,,
Old Henry,2021,7.2,4233,Western,,,,,,,,,
Chicago P.D.,2021,8.1,32212,Action; Crime; Drama,,,,,,,,,
Shameless,2021,8.5,217452,Comedy; Drama,,,,,,,,,
The Expanse,2021,8.5,123865,Drama; Mystery; Sci-Fi,,,,,,,,,
Muppets Haunted Mansion,2021,6.7,2929,Adventure; Comedy; Family,,,,,,,,,
Westworld,2021,8.6,453101,Drama; Mystery; Sci-Fi,,,,,,,,,
American Rust,2021,7,1915,Crime; Drama,,,,,,,,,
Ghosts,2021,8.2,8577,Comedy; Fantasy,,,,,,,,,
Fear the Walking Dead,2021,6.9,120421,Drama; Horror; Sci-Fi,,,,,,,,,
Cinderella,2021,4.2,33916,Adventure; Comedy; Family,,,,,,,,,
Bridgerton,2021,7.3,89503,Drama; Romance,,,,,,,,,
Halloween,2018,6.5,132934,Crime; Horror; Thriller,,,,,,,,,
The Addams Family,2019,5.8,33649,Animation; Adventure; Comedy,,,,,,,,,
House M.D.,2019,8.7,432280,Drama; Mystery,,,,,,,,,
Good Girls,2019,7.8,44113,Comedy; Crime; Drama,,,,,,,,,
The Flash,2019,7.6,325626,Action; Adventure; Drama,,,,,,,,,
Scream,1996,7.3,304350,Horror; Mystery,,,,,,,,,
Suits,1996,8.4,380478,Comedy; Drama,,,,,,,,,
Once Upon a Time... in Hollywood,2019,7.6,643564,Comedy; Drama,,,,,,,,,
My Little Pony: A New Generation,2021,7,2247,Animation; Adventure; Comedy,,,,,,,,,
Jungle Cruise,2021,6.6,113396,Action; Adventure; Comedy,,,,,,,,,
Gilmore Girls,2021,8.1,110011,Comedy; Drama,,,,,,,,,
True Detective,2021,8.9,524326,Crime; Drama; Mystery,,,,,,,,,
Bones,2021,7.8,147495,Comedy; Crime; Drama,,,,,,,,,
American Horror Stories,2021,6.1,12381,Drama; Horror; Thriller,,,,,,,,,
Intrusion,2021,5.2,8561,Drama; Thriller,,,,,,,,,
Leverage: Redemption,2021,8.8,13554,Crime; Mystery; Thriller,,,,,,,,,
Blade Runner 2049,2017,8,502751,Action; Drama; Mystery,,,,,,,,,
The X Files,2017,8.6,209643,Crime; Drama; Mystery,,,,,,,,,
Ordinary Joe,2017,6.6,1391,Drama,,,,,,,,,
Schitt's Creek,2017,8.5,97987,Comedy,,,,,,,,,
The Matrix Resurrections,2021,No Rate,No Votes,Action; Sci-Fi,,,,,,,,,
The Vampire Diaries,2021,7.7,298419,Drama; Fantasy; Horror,,,,,,,,,
Grantchester,2021,7.9,11403,Crime; Drama; Mystery,,,,,,,,,
Blue Bayou,2021,7.1,1833,Drama,,,,,,,,,
The Matrix,1999,8.7,1767660,Action; Sci-Fi,,,,,,,,,
Manhunt,1999,7.5,6268,Biography; Crime; Drama,,,,,,,,,
ER,1999,7.7,54651,Drama; Romance,,,,,,,,,
One of Us Is Lying,1999,6.6,537,Crime; Drama; Mystery,,,,,,,,,
The Wolf of Wall Street,2013,8.2,1271608,Biography; Comedy; Crime,,,,,,,,,
The Last Kingdom,2013,8.4,98462,Action; Drama; History,,,,,,,,,
The Shawshank Redemption,1994,9.3,2474122,Drama,,,,,,,,,
Star Trek: The Next Generation,1994,8.6,109337,Action; Adventure; Mystery,,,,,,,,,
The Walking Dead: World Beyond,1994,4.2,11306,Drama; Horror; Sci-Fi,,,,,,,,,
FBI,1994,6.9,13075,Action; Crime; Drama,,,,,,,,,
Fargo,1994,8.9,347559,Crime; Drama; Thriller,,,,,,,,,
Joker,2019,8.4,1077534,Crime; Drama; Thriller,,,,,,,,,
Harry Potter and the Sorcerer's Stone,2001,7.6,702396,Adventure; Family; Fantasy,,,,,,,,,
Curb Your Enthusiasm,2001,8.7,111076,Comedy,,,,,,,,,
Boruto: Naruto Next Generations,2001,7.1,16068,Animation; Action; Adventure,,,,,,,,,
Zodiac,2007,7.7,499163,Crime; Drama; Mystery,,,,,,,,,
Supergirl,2007,6.2,117623,Action; Adventure; Drama,,,,,,,,,
Snake Eyes: G.I. Joe Origins,2021,5.4,24928,Action; Adventure; Fantasy,,,,,,,,,
The Addams Family,1991,6.9,143815,Comedy; Fantasy,,,,,,,,,
Brassic,1991,8.3,6334,Comedy; Drama,,,,,,,,,
Sons of Anarchy,1991,8.5,275596,Crime; Drama; Thriller,,,,,,,,,
Midsommar,2019,7.1,256462,Drama; Horror; Mystery,,,,,,,,,
Spencer,2021,6.7,1044,Biography; Drama; Romance,,,,,,,,,
Chapelwaite,2021,7.5,3531,Drama; Horror; Mystery,,,,,,,,,
Dave Chappelle: The Closer,2021,8.1,12454,Comedy,,,,,,,,,
Kin,2021,7.7,1415,Crime; Drama,,,,,,,,,
The Wheel of Time,2021,No Rate,No Votes,Action; Adventure; Drama,,,,,,,,,
